Q1,Q2,Q3,Prompt
1,1,1,"A cartoon postcard of the person in the photo at Pacific cliffs, big waves and rocky bluffs, enjoying boardwalk classics: funnel cakes, corndogs, and lemonade, dressed in timeless elegant style. The background is playful and illustrated, but their facial features are preserved."
1,1,2,"A cartoon postcard of the person in the photo at Pacific cliffs, big waves and rocky bluffs, enjoying boardwalk classics: funnel cakes, corndogs, and lemonade, dressed in futuristic metallic rave outfit. The background is playful and illustrated, but their facial features are preserved."
1,1,3,"A cartoon postcard of the person in the photo at Pacific cliffs, big waves and rocky bluffs, enjoying boardwalk classics: funnel cakes, corndogs, and lemonade, dressed in boho chic flowing fabrics. The background is playful and illustrated, but their facial features are preserved."
1,2,1,"A cartoon postcard of the person in the photo at Pacific cliffs, big waves and rocky bluffs, enjoying drinks and cocktails, fresh libations over ice or from the cooler, dressed in timeless elegant style. The background is playful and illustrated, but their facial features are preserved."
1,2,2,"A cartoon postcard of the person in the photo at Pacific cliffs, big waves and rocky bluffs, enjoying drinks and cocktails, fresh libations over ice or from the cooler, dressed in futuristic metallic rave outfit. The background is playful and illustrated, but their facial features are preserved."
1,2,3,"A cartoon postcard of the person in the photo at Pacific cliffs, big waves and rocky bluffs, enjoying drinks and cocktails, fresh libations over ice or from the cooler, dressed in boho chic flowing fabrics. The background is playful and illustrated, but their facial features are preserved."
1,3,1,"A cartoon postcard of the person in the photo at Pacific cliffs, big waves and rocky bluffs, enjoying food cooked over open flame: hotdogs, hamburgers, roasted marshmallows, dressed in timeless elegant style. The background is playful and illustrated, but their facial features are preserved."
1,3,2,"A cartoon postcard of the person in the photo at Pacific cliffs, big waves and rocky bluffs, enjoying food cooked over open flame: hotdogs, hamburgers, roasted marshmallows, dressed in futuristic metallic rave outfit. The background is playful and illustrated, but their facial features are preserved."
1,3,3,"A cartoon postcard of the person in the photo at Pacific cliffs, big waves and rocky bluffs, enjoying food cooked over open flame: hotdogs, hamburgers, roasted marshmallows, dressed in boho chic flowing fabrics. The background is playful and illustrated, but their facial features are preserved."
2,1,1,"A cartoon postcard of the person in the photo at Shore boardwalk with games and food, enjoying boardwalk classics: funnel cakes, corndogs, and lemonade, dressed in timeless elegant style. The background is playful and illustrated, but their facial features are preserved."
2,1,2,"A cartoon postcard of the person in the photo at Shore boardwalk with games and food, enjoying boardwalk classics: funnel cakes, corndogs, and lemonade, dressed in futuristic metallic rave outfit. The background is playful and illustrated, but their facial features are preserved."
2,1,3,"A cartoon postcard of the person in the photo at Shore boardwalk with games and food, enjoying boardwalk classics: funnel cakes, corndogs, and lemonade, dressed in boho chic flowing fabrics. The background is playful and illustrated, but their facial features are preserved."
2,2,1,"A cartoon postcard of the person in the photo at Shore boardwalk with games and food, enjoying drinks and cocktails, fresh libations over ice or from the cooler, dressed in timeless elegant style. The background is playful and illustrated, but their facial features are preserved."
2,2,2,"A cartoon postcard of the person in the photo at Shore boardwalk with games and food, enjoying drinks and cocktails, fresh libations over ice or from the cooler, dressed in futuristic metallic rave outfit. The background is playful and illustrated, but their facial features are preserved."
2,2,3,"A cartoon postcard of the person in the photo at Shore boardwalk with games and food, enjoying drinks and cocktails, fresh libations over ice or from the cooler, dressed in boho chic flowing fabrics. The background is playful and illustrated, but their facial features are preserved."
2,3,1,"A cartoon postcard of the person in the photo at Shore boardwalk with games and food, enjoying food cooked over open flame: hotdogs, hamburgers, roasted marshmallows, dressed in timeless elegant style. The background is playful and illustrated, but their facial features are preserved."
2,3,2,"A cartoon postcard of the person in the photo at Shore boardwalk with games and food, enjoying food cooked over open flame: hotdogs, hamburgers, roasted marshmallows, dressed in futuristic metallic rave outfit. The background is playful and illustrated, but their facial features are preserved."
2,3,3,"A cartoon postcard of the person in the photo at Shore boardwalk with games and food, enjoying food cooked over open flame: hotdogs, hamburgers, roasted marshmallows, dressed in boho chic flowing fabrics. The background is playful and illustrated, but their facial features are preserved."
3,1,1,"A cartoon postcard of the person in the photo at Caribbean islands with coconut trees and crystal clear water, enjoying boardwalk classics: funnel cakes, corndogs, and lemonade, dressed in timeless elegant style. The background is playful and illustrated, but their facial features are preserved."
3,1,2,"A cartoon postcard of the person in the photo at Caribbean islands with coconut trees and crystal clear water, enjoying boardwalk classics: funnel cakes, corndogs, and lemonade, dressed in futuristic metallic rave outfit. The background is playful and illustrated, but their facial features are preserved."
3,1,3,"A cartoon postcard of the person in the photo at Caribbean islands with coconut trees and crystal clear water, enjoying boardwalk classics: funnel cakes, corndogs, and lemonade, dressed in boho chic flowing fabrics. The background is playful and illustrated, but their facial features are preserved."
3,2,1,"A cartoon postcard of the person in the photo at Caribbean islands with coconut trees and crystal clear water, enjoying drinks and cocktails, fresh libations over ice or from the cooler, dressed in timeless elegant style. The background is playful and illustrated, but their facial features are preserved."
3,2,2,"A cartoon postcard of the person in the photo at Caribbean islands with coconut trees and crystal clear water, enjoying drinks and cocktails, fresh libations over ice or from the cooler, dressed in futuristic metallic rave outfit. The background is playful and illustrated, but their facial features are preserved."
3,2,3,"A cartoon postcard of the person in the photo at Caribbean islands with coconut trees and crystal clear water, enjoying drinks and cocktails, fresh libations over ice or from the cooler, dressed in boho chic flowing fabrics. The background is playful and illustrated, but their facial features are preserved."
3,3,1,"A cartoon postcard of the person in the photo at Caribbean islands with coconut trees and crystal clear water, enjoying food cooked over open flame: hotdogs, hamburgers, roasted marshmallows, dressed in timeless elegant style. The background is playful and illustrated, but their facial features are preserved."
3,3,2,"A cartoon postcard of the person in the photo at Caribbean islands with coconut trees and crystal clear water, enjoying food cooked over open flame: hotdogs, hamburgers, roasted marshmallows, dressed in futuristic metallic rave outfit. The background is playful and illustrated, but their facial features are preserved."
3,3,3,"A cartoon postcard of the person in the photo at Caribbean islands with coconut trees and crystal clear water, enjoying food cooked over open flame: hotdogs, hamburgers, roasted marshmallows, dressed in boho chic flowing fabrics. The background is playful and illustrated, but their facial features are preserved."
